data,coin,location,current_price_usd,current_price_eur,current_price_brl,market_cap_usd,market_cap_eur,market_cap_brl,total_volume_usd,total_volume_eur,total_volume_brl
15-09-2024,bitcoin,Bitcoin,60003.29940083042,54142.357125255534,333928.9817496152,1185255944124.8464,1069483699270.5634,6596159119356.881,15800120841.166773,14256812437.764132,87930469102.48196
15-09-2024,ethereum,Ethereum,2418.0828083179904,2181.8917338499123,13457.058828946696,290912717943.81995,262497236393.22128,1618980766908.4346,7248493705.268602,6540482585.619077,40339150453.20563
15-09-2024,solana,Solana,137.18415865102773,123.7844215864712,763.4541244890509,64231025021.070015,57957131190.08693,357457023133.6838,1141559407.4449415,1030055309.2039412,6352980158.446221
16-09-2024,bitcoin,Bitcoin,59214.80226801806,53407.547394791305,330624.4865230265,1169677517083.0613,1054918116527.0073,6530867514050.366,17289597542.866756,15593989422.240282,96536070219.853
16-09-2024,ethereum,Ethereum,2322.6433317480564,2094.859377560195,12968.425622018638,279257769574.61383,251859231286.10907,1559229333491.1575,9361948332.945747,8443812697.985433,52272223192.1909
16-09-2024,solana,Solana,131.62267074556308,118.71430380287508,734.912154786424,61583690049.17375,55541591051.069176,343851116964.69,1781296503.1532538,1606602973.7925124,9945828055.536615
17-09-2024,bitcoin,Bitcoin,58211.123231286256,52308.16606889451,320475.5178375233,1150499194409.9338,1033801760122.5457,6333958264904.461,32196570894.402115,28931645426.28441,177255001402.04135
17-09-2024,ethereum,Ethereum,2295.1348386540835,2062.39439520553,12635.635340726189,276339513490.21936,248309843957.87952,1521359557569.0574,16629103878.54157,14942812970.634203,91549868492.92274
17-09-2024,solana,Solana,131.52040183855297,118.18344396971283,724.0724202819695,61587188878.89927,55341878403.44556,339062109653.8914,2079969051.5704038,1869047709.9268577,11451061616.5157
18-09-2024,bitcoin,Bitcoin,60317.0319794625,54228.992673647364,330730.34974978876,1191818552363.6113,1071488975861.3236,6534979486320.158,34191170117.78261,30740118553.114304,187477023989.82556
18-09-2024,ethereum,Ethereum,2341.0924132597524,2104.79659161979,12836.677920385871,281704536557.3961,253262801432.952,1544642314851.5164,14449511265.93516,12991064295.819244,79229560173.37566
18-09-2024,solana,Solana,131.52137869559544,118.24639985833407,721.1580236636888,61598080482.36476,55378953482.62368,337754594900.9027,2150547014.163277,1933483701.8357184,11791879388.060078
19-09-2024,bitcoin,Bitcoin,61440.41208494509,55288.44506329167,335618.31245442457,1211837853548.9263,1090617713058.4265,6619665486848.87,40445339415.1129,36395588024.81709,220932707000.3936
19-09-2024,ethereum,Ethereum,2361.960992100706,2125.460199922655,12902.214281311095,283874122378.3681,255478193916.86026,1550662677365.9592,17524561761.811428,15769844917.16302,95727936148.45667
19-09-2024,solana,Solana,133.61385947184837,120.23523733679176,729.865840978831,62403271563.93473,56161072309.39427,340877933321.2651,2755309741.192964,2479423332.117056,15050882216.576305
20-09-2024,bitcoin,Bitcoin,62966.52931910512,56427.20338319878,341618.60816787236,1243871590271.4927,1114446751303.7446,6748375294828.344,41959080716.28771,37601462347.57837,227644796518.14697
20-09-2024,ethereum,Ethereum,2465.2347833172967,2209.2102901306625,13374.88479340964,296680606397.51587,265869138700.70828,1609610961949.08,17820089225.37694,15969401678.964647,96681112083.35991
20-09-2024,solana,Solana,142.68574337456613,127.86725818214394,774.1272321043697,66808347524.87485,59856938964.911674,362455261018.3564,3564421946.2642255,3194242469.456901,19338414827.261898
21-09-2024,bitcoin,Bitcoin,63128.224540748255,56488.082242429715,348126.90705241053,1246475981189.1353,1115365405107.757,6873816445865.61,35587830476.533394,31844524527.859264,196252649945.89117
21-09-2024,ethereum,Ethereum,2557.6218555442515,2288.5984006688323,14104.261484584338,307586864690.1545,275233340327.7206,1696218524020.3254,18498405459.395584,16552650681.14908,102011306746.38297
21-09-2024,solana,Solana,146.47882774731306,131.0714522507121,807.7721434953331,68638372124.58108,61418644952.65706,378513166918.2148,3882733732.26317,3474328384.635072,21411723439.938488
22-09-2024,bitcoin,Bitcoin,63403.402349259355,56759.67683409224,349676.10429640044,1254104417392.48,1122693086016.0098,6916511272361.267,12938083115.659332,11582366076.384974,71354822191.17282
22-09-2024,ethereum,Ethereum,2614.599604753501,2340.628785169406,14419.778280176039,315153052833.9301,282129740192.7269,1738100601684.4084,9276102854.536339,8304106416.923752,51158634853.05338
22-09-2024,solana,Solana,149.6684323230078,133.9854256420415,825.4363711046208,70140329689.73108,62790675243.19262,386830932271.8362,1873292317.7490916,1676999382.233754,10331394461.618021
23-09-2024,bitcoin,Bitcoin,63582.59956924825,56960.916902308025,349835.02345557994,1255899286380.1958,1125222965632.3362,6910028204023.873,20349365412.816723,18230121450.62975,111963348065.78079
23-09-2024,ethereum,Ethereum,2582.847683741262,2313.862177413395,14210.9725954147,310840922229.8413,278469016066.05884,1710264161200.2302,12759588941.97967,11430767070.795076,70203972895.75284
23-09-2024,solana,Solana,144.8397327948964,129.7556885024375,796.916320862557,67842797097.467896,60783754059.476295,373274868826.90625,2044307162.0407553,1831406881.2643447,11247892486.749317
24-09-2024,bitcoin,Bitcoin,63327.02654450202,56989.44770900782,350679.7421928343,1251095079247.0432,1125923016568.3755,6928064110838.42,23998847798.757656,21597115107.60136,132896019570.40036
24-09-2024,ethereum,Ethereum,2647.9931622033255,2382.9899505095004,14663.526935017133,318666137823.1156,286774986748.19165,1764645604809.283,19740370943.835594,17764813840.889336,109314278138.58395
24-09-2024,solana,Solana,144.88610360985587,130.38633701889216,802.3212873499377,67870222047.840904,61079806331.95442,375838141612.12335,2886324907.6015005,2597470169.823462,15983312808.334064
25-09-2024,bitcoin,Bitcoin,64334.14274876097,57493.81502099898,350698.27895204554,1271183646356.5713,1136025045157.7083,6929476293018.933,31490984593.70592,28142705656.780155,171663655217.2096
25-09-2024,ethereum,Ethereum,2653.844345308008,2371.6743452931355,14466.636295143004,319524635350.52515,285552456595.4221,1741761059283.8806,16584773336.25631,14821397311.278864,90406916410.60033
25-09-2024,solana,Solana,152.88718767415355,136.63145744469912,833.4186374493447,71709338801.75752,64085130191.01584,390894848451.59863,3787418563.3946958,3384721284.6417527,20645976072.777134
26-09-2024,bitcoin,Bitcoin,63151.89959401337,56737.43484845022,345775.59584710165,1245721254991.302,1119165941254.2256,6820448443202.879,26087643765.748165,23437869613.173584,142837675910.60104
26-09-2024,ethereum,Ethereum,2578.566359563475,2316.656217289892,14118.42438851791,309875035203.6359,278394210627.22797,1696596805243.4275,14003678832.756735,12581297166.355957,76674342712.99303
26-09-2024,solana,Solana,148.1082936254362,133.06463802531334,810.9373400873515,69291597151.69516,62252125213.86013,379378423565.24615,2721186645.010609,2444790275.103591,14899313237.426601
27-09-2024,bitcoin,Bitcoin,65130.76884023231,58275.038981340615,354194.1471069511,1287151352432.846,1151723722886.6248,6999786484800.312,37995568903.94455,33996117325.546436,206627502813.4311
27-09-2024,ethereum,Ethereum,2630.94983700893,2354.0134262155325,14307.631403621952,316828988137.27673,283493826150.41315,1722979403288.138,16686162392.966532,14929760253.32048,90742688325.43053
27-09-2024,solana,Solana,155.466115622881,139.10874826761972,845.4558299803531,72884471285.93079,65215931639.58152,396360331747.14886,3823684872.5730457,3421375868.7052765,20793963074.026775
28-09-2024,bitcoin,Bitcoin,65791.00212541742,58891.82868753552,357501.7264493057,1299708226182.0723,1163414323043.4895,7062484530250.765,32664917503.931107,29239510929.881367,177497895224.61124
28-09-2024,ethereum,Ethereum,2698.1928212346033,2415.246831035839,14661.709971306724,324681649929.6723,290633908709.79724,1764287617552.8442,16468123574.12263,14741193795.522274,89486136689.42502
28-09-2024,solana,Solana,157.79795876913818,141.2504758228125,857.4583281556199,73978003988.83308,66220300600.54413,401989075874.92035,3684393153.83145,3298029265.7549148,20020623958.604717
29-09-2024,bitcoin,Bitcoin,65934.10709441357,59019.92695395789,358279.34454033384,1303217687717.8518,1166555764895.319,7081554593290.031,15342911002.84781,13733976640.534172,83371844098.3747
29-09-2024,ethereum,Ethereum,2680.218702062471,2399.1575678706895,14564.040405137255,322761939149.4107,288915508400.508,1753856101143.9844,9607072594.439383,8599626926.823496,52203871770.92415
